Identifiant parcelle,Identifiant unité de gestion,Identifiant peuplement élémentaire,identifiant foret,"Code
 plle",Code UEP,surface retenue ,Date de description ,HET (% du couvert boisé),CHS (% du couvert boisé),CHP (% du couvert boisé),FRE (% du couvert boisé),CHT (% du couvert boisé),MER (% du couvert boisé),ERS (% du couvert boisé),ALT (% du couvert boisé),PEU (% du couvert boisé),CHR (% du couvert boisé),CHA (% du couvert boisé),BOU (% du couvert boisé),AUL (% du couvert boisé),TRE (% du couvert boisé),SAU (% du couvert boisé),TIL (% du couvert boisé),ERC (% du couvert boisé),A.F (% du couvert boisé),A.F : préciser essence,DOU (% du couvert boisé),P.S (% du couvert boisé),P.L (% du couvert boisé),EPC (% du couvert boisé),EPS (% du couvert boisé),S.P (% du couvert boisé),MEL (% du couvert boisé),A.R (% du couvert boisé),A.R : préciser essence,Total du couvert décrit en essences,Essence dominante 1,Essence dominante 2,Essence dominante 3,Essence déterminant la sylviculture,"Taux de vides non cartographiés
(%)",Structure et occupation du sol,"Type d'espace non boisé
 ou  hors sylviculture",Classe de catégorie de diamètre dominant,Type de peuplement,surf terrière moy,Classe de surface terrière,Année d'installation ,Âge réel en 2010,Classe d'âge en 2010,Présence des semis,Code dépérissement,Essence dépérissante,Durée de survie sanitaire du peuplmt,Risque mitaille,Dernier passage en coupe (EA),Type du dernier passage en coupe ,Proposition de Classement,Site écologique,Proposition d'ilôts de sénescence,Site d'acc public,Proposition même UG,Proposition de rotation ,Proposition de prochain passage,Observation UT,Classement,Groupe Aménagement,mode régé,ess obj,ess obj SIG,DRA,rotation retenue,1er passage,type de coupe,code UG
RETZ_00453,RETZ_00453_b,RETZ_00453_03,RETZ,453,3,"5,99",03/11,70,3,7,,,,10,,,,5,5,,,,,,,,,,,,,,,,,100,HET,CHE,,HET,,F,,P,FHETP,"24,0",4+,,,25-34,,1,,,,2009,A2,AME,,,,,8,2017,,AME,AME1,,HET,HET,5,6,2016,A3,b
RETZ_00454,RETZ_00454_a,RETZ_00454_01,RETZ,454,1,"11,04",03/11,65,5,10,,,,,,,,10,10,,,,,,,,,,,,,,,,,100,HET,CHE,,CHE,,F,,P,FHETP,"19,0",3+,,,35-49,,1,,,,2008,A2,AME,,,,,8,2016,,AME,AME2,,CHS/P.L,CHS,,7,2015,A3,a
RETZ_00454,RETZ_00454_b,RETZ_00454_02,RETZ,454,2,"1,66",03/11,,90,,,,,,,,,,10,,,,,,,,,,,,,,,,,100,CHS,,,CHS,,F,,S,FCHSS,"0,0",0,1999,11,0-24,,1,,,,,,AME,,,,,,,"classe bdr, 3a, ",AME,AMEE,,CHS,CHS,8,,2030,A1,b
RETZ_00454,RETZ_00454_c,RETZ_00454_03,RETZ,454,3,"3,19",03/11,70,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,100,HET,CHP,,CHE,,F,,G+,FHETG+,"16,0",3-,,,160 et +,,1,,,,2009,RS,REGQ,,,,,,,,REG,REGQ,N,CHS,CHS,1,,2013,RS,c
RETZ_00454,RETZ_00454_b,RETZ_00454_04,RETZ,454,4,"1,44",03/11,10,,40,10,10,,,,,,10,20,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,S,FHETS,"0,0",0,2000,10,0-24,,1,,,,,,AME,,,,,,,"classe bdr, 2a reboisement à prévoir sur  une partie",AME,AMEE,,HET,HET,5,,2030,A1,b
RETZ_00455,RETZ_00455_a,RETZ_00455_01,RETZ,455,1,"4,22",03/11,80,3,7,,,,,,,,5,5,,,,,,,,,,,,,,,,,100,HET,CHE,,HET,,F,,E,FHETE,"0,0",0,1992,18,0-24,,1,,,,,,AME,,,,,,,"classe bdr,  3b",AME,AME1,,HET,HET,1,5/6,2017,A1,a
RETZ_00455,RETZ_00455_b,RETZ_00455_02,RETZ,455,2,"6,94",03/11,70,5,15,5,,,,,,,5,,,,,,,,,,,,,,,,,,100,HET,CHE,,CHE,,F,,M,FHETM,"16,0",3-,,,35-49,,1,,,,2008,A3,AME,,,,,8,2016,,AME,AME2,,HET/CHP,HET,,7,2015,A3,b
RETZ_00501,RETZ_00501_u,RETZ_00501_01,RETZ,501,1,"10,40",06/2010,25,,15,35,,5,5,,,,15,,,,,,,,,,,,,,,,,,100,FRE,HET,,FRE,,F,,G-,FFREG-,"24,0",4+,,,70-99,FRE,1,,,,2010,A3,AME,,,,,8,2018,Chancre sur Frêne,REG,REGS,N,HET,HET,5,,2018,RE,u
RETZ_00501,RETZ_00501_u,RETZ_00501_02,RETZ,501,2,"2,69",06/2010,40,5,20,5,,,,,,,30,,,,,,,,,,,,,,,,,,100,HET,CHA,CHE,HET,,F,,G-,FHETG-,"24,0",4+,,,70-99,CHA,1,,,,2010,A3,AME,,,,,8,2018,,REG,REGS,N,HET,HET,5,,2018,RE,u
RETZ_00502,RETZ_00502_u,RETZ_00502_01,RETZ,502,1,"14,75",06/2010,45,5,15,15,,,,,,,20,,,,,,,,,,,,,,,,,,100,HET,CHE,CHA,HET,,F,,G-,FHETG-,"22,5",4,,,70-99,,1,,,,2010,A3,AME,,,,,8,2018,Chancre sur Frêne,REG,REGS,N,HET,HET,5,,2018,RE,u
RETZ_00503,RETZ_00503_u,RETZ_00503_01,RETZ,503,1,"14,01",06/2010,55,5,15,,,,,,,,25,,,,,,,,,,,,,,,,,,100,HET,CHE,CHA,HET,,F,,G-,FHETG-,"24,0",4+,,,70-99,,1,,,,2010,A3,AME,,,,,8,2018,,AME,AME2,,HET,HET,5,8,2018,A3,u
RETZ_00504,RETZ_00504_u,RETZ_00504_01,RETZ,504,1,"14,36",06/2010,45,10,10,5,,,,,,,20,10,,,,,,,,,,,,,,,,,100,HET,CHE,CHA,HET,,F,,G-,FHETG-,"29,0",5+,,,70-99,,1,,,,2006,A2,AME,,,,,8,2014,,AME,AME2,,HET/CHS,HET,5,7,2013,A3,u
RETZ_00504,RETZ_00504_u,RETZ_00504_02,RETZ,504,2,"2,84",06/2010,30,10,35,5,,,,,,,20,,,,,,,,,,,,,,,,,,100,CHP,HET,CHA,CHP,,F,,G-,FCHPG-,"22,5",4,,,70-99,,1,,,,2006,A2,AME,,,,,8,2014,,AME,AME2,,CHS,CHS,5,7,2013,A3,u
RETZ_00505,RETZ_00505_u,RETZ_00505_01,RETZ,505,1,"15,40",9/2010,45,5,25,5,,,,,,,20,,,,,,,,,,,,,,,,,,100,HET,CHE,CHA,HET,,F,,M,FHETM,"21,0",4-,,,70-99,,1,,,,2008,A2,AME,,,,,8,2016,,AME,AME2,,CHP,CHP,,7/8,2015,A3,u
RETZ_00506,RETZ_00506_u,RETZ_00506_01,RETZ,506,1,"11,48",9/2010,50,,20,10,,,,,,,20,,,,,,,,,,,,,,,,,,100,HET,CHP,CHA,CHP,,F,,G-,FHETG-,"22,5",4,,,100-129,HET,1,,,,2002,A3,REG2,,,,,10,2012,,AME,AME3,,CHP,CHP,5,10,2013,A4,u
RETZ_00507,RETZ_00507_a,RETZ_00507_01,RETZ,507,1,"12,09",9/2010,50,5,10,5,,,,,,,30,,,,,,,,,,,,,,,,,,100,HET,CHE,CHA,HET,,F,,G-,FHETG-,"21,0",4-,,,100-129,HET,1,,,1,2002,A3,REG1,,,,,10,2012,,REG,REGS,N,HET,HET,,,2013,A4,a
RETZ_00507,RETZ_00507_b,RETZ_00507_02,RETZ,507,2,"0,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,EMP,,VEMP,,NC,,,NC,,,,,,,,,,,,,,,emprise RN2,HSY,HSY,,SANS,SANS,,,,,b
RETZ_00508,RETZ_00508_a,RETZ_00508_01,RETZ,508,1,"14,35",05/2011,60,5,20,5,,,10,,,,,,,,,,,,,,,,,,,,,,100,HET,CHE,ERS,CHE,,F,,E,FHETE,"0,0",0,1995,15,0-24,,1,,,,,,AME,,,,,6,2019,,AME,AME1,,HET,HET,,6,2017,A1,a
RETZ_00508,RETZ_00508_b,RETZ_00508_02,RETZ,508,2,"4,47",05/2011,70,5,15,5,,,5,,,,,,,,,,,,,,,,,,,,,,100,HET,CHE,,CHE,,F,,E,FHETE,"0,0",0,2000,10,0-24,,1,,,,,,AME,,,,,6,2020,,AME,AME1,,HET,HET,,6,2020,A1,b
RETZ_00508,RETZ_00508_c,RETZ_00508_03,RETZ,508,3,"3,81",05/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,R,RAS,,RRAS,"0,0",0,,,0-24,,1,,,,2011,RD,AME,,,,,,,RD de Hêtre restent les chênes,AME,AMEJ,,CHS,CHS,,,/,,c
RETZ_00508,RETZ_00508_d,RETZ_00508_04,RETZ,508,4,"0,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,EMP,,VEMP,,NC,,,NC,,,,,,,,,,,,,,,emprise RN2,HSY,HSY,,SANS,SANS,,,,,d
RETZ_00509,RETZ_00509_u,RETZ_00509_01,RETZ,509,1,"0,94",01/2011,10,,,20,,,,,,,50,,,,,,20,,,,,,,,,,,,100,CHA,FRE,,FRE,,F,,P,FCHAP,"17,5",3,,,50-69,,1,,,,2008,A3,AME,,,,,10,2018,,REG,REGE,N,HET,HET,,7,2015,A3,u
RETZ_00509,RETZ_00509_u,RETZ_00509_02,RETZ,509,2,"12,13",01/2011,40,,18,4,,1,,,,,35,1,,,,,1,,,,,,,,,,,,100,HET,CHA,CHP,HET,,F,,M,FHETM,"29,0",5+,,,70-99,,1,,,,2008,A3,AME,,,,,8,2016,CHENE ET HETRE:  DIAMETRE  MOYEN   50 / 55,REG,REGE,N,HET,HET,,7,2015,A3,u
RETZ_00509,RETZ_00509_u,RETZ_00509_03,RETZ,509,3,"2,64",01/2011,85,,5,5,,1,,,,,3,,,,,,1,,,,,,,,,,,,100,HET,,,HET,,F,,G-,FHETG-,"27,5",5,,,70-99,,1,,,,2008,A3,REG1,,,,,8,2016,,REG,REGE,N,HET,HET,,7,2015,A3,u
RETZ_00510,RETZ_00510_u,RETZ_00510_01,RETZ,510,1,"9,22",01/2011,40,,15,,,,,,,,35,10,,,,,,,,,,,,,,,,,100,HET,CHA,CHP,HET,,F,,M,FHETM,"27,5",5,,,70-99,,1,,,1,2006,A3,AME,,,,,8,2014,CHENE ET HETRE:  DIAMETRE  MOYEN   50 / 55,REG,REGE,N,HET,HET,6,,2014,A3,u
RETZ_00511,RETZ_00511_a,RETZ_00511_01,RETZ,511,1,"12,60",01/2011,,,1,,,,,,,,,1,,,,,,,,98,,,,,,,,,100,DOU,,,DOU,,F,,M,FDOUM,"27,5",5,,,50-69,,1,,,,2009,A3,AME,,,,,6,2015,,REG,REGE,N,DOU,DOU,,,2015,A3,a
RETZ_00511,RETZ_00511_b,RETZ_00511_02,RETZ,511,2,"5,20",01/2011,26,,10,2,,1,,,,,58,2,,,,,,,,,,,,,1,,,,100,CHA,HET,CHP,HET,,F,,M,FCHAM,"24,0",4+,,,50-69,,1,,,,2006,A3,AME,,,,,10,2016,,AME,AME2,,HET/CHS,HET,6,8,2013,A3,b
RETZ_00511,RETZ_00511_c,RETZ_00511_03,RETZ,511,3,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,EMP,,VEMP,,NC,,,NC,,,,,,,,,,,,,,,emprise RN2,HSY,HSY,,SANS,SANS,,,,,c
RETZ_00512,RETZ_00512_a,RETZ_00512_01,RETZ,512,1,"16,82",01/2011,7,2,9,13,,1,,,,,63,5,,,,,,,,,,,,,,,,,100,CHA,FRE,CHP,FRE,,F,,M,FCHAM,"27,5",5,,,70-99,,1,,,,2010,A3,AME,,,,,8,2018,,AME,AME2,,CHS,CHS,6,7,2017,A3,a
RETZ_00512,RETZ_00512_b,RETZ_00512_02,RETZ,512,2,"0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,EMP,,VEMP,,NC,,,NC,,,,,,,,,,,,,,,emprise RN2,HSY,HSY,,SANS,SANS,,,,,b
RETZ_00513,RETZ_00513_a,RETZ_00513_01,RETZ,513,1,"11,54",01/2011,59,5,28,,,1,,,,,5,2,,,,,,,,,,,,,,,,,100,HET,CHP,,HET,,F,,P,FHETP,"21,0",4-,,,35-49,,1,,,,2006,A2,AME,,,,,8,2014,,AME,AME2,,HET,HET,5,7,2013,A3,a
RETZ_00513,RETZ_00513_a,RETZ_00513_02,RETZ,513,2,"3,25",01/2011,10,,85,,3,,,,,,,2,,,,,,,,,,,,,,,,,100,CHP,HET,,CHP,,F,,P,FCHPP,"27,5",5,1973,37,35-49,,1,,,,2006,A2,AME,,,,,8,2014,,AME,AME2,,CHS,CHS,,7,2013,A3,a
RETZ_00513,RETZ_00513_b,RETZ_00513_03,RETZ,513,3,"2,78",01/2011,38,,2,8,,,,,,,50,2,,,,,,,,,,,,,,,,,100,CHA,HET,,HET,,F,,M,FCHAM,"29,0",5+,,,70-99,,1,,,,2010,A3,AME,,,,,10,2020,PRESENCE DE HETRE DIAMETRE   55 / 65 A PROXIMITE DU PASSAGE FAUNE,AME,ILP,,HET/CHS,HET,6,10,2020,A3,b
RETZ_00513,RETZ_00513_c,RETZ_00513_04,RETZ,513,4,"0,20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,EMP,,VEMP,,NC,,,NC,,,,,,,,,,,,,,,emprise RN2,HSY,HSY,,SANS,SANS,,,,,c
RETZ_00514,RETZ_00514_a,RETZ_00514_01,RETZ,514,1,"2,39",01/2011,,,91,,3,,,,,,,6,,,,,,,,,,,,,,,,,100,CHP,,,CHP,,F,,1,FCHP1,"27,5",5,1973,37,35-49,,1,,,,2006,A2,AME,,,,,8,2014,,AME,AME1,,CHS,CHS,5,6,2013,A3,a
RETZ_00514,RETZ_00514_b,RETZ_00514_02,RETZ,514,2,"1,16",01/2011,,,,,,,,,,,,1,,,,,,,,3,,95,1,,,,,,100,P.L,,,P.L,,F,,M,FP.LM,"27,5",5,,,35-49,,1,,,,2012,A3,AME,,,,,8,2014,,AME,AME1,,P.L,P.L,5,6,2018,A3,b
RETZ_00514,RETZ_00514_a,RETZ_00514_03,RETZ,514,3,"7,02",01/2011,90,1,2,,,1,,,,,,6,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,P,FHETP,"22,5",4,,,25-34,,1,,,,2006,A2,AME,,,,,8,2014,,AME,AME1,,HET,HET,5,6,2013,A3,a
RETZ_00514,RETZ_00514_c,RETZ_00514_04,RETZ,514,4,"3,08",01/2011,23,,8,27,,,,,,,30,10,,1,,,,,,,,1,,,,,,,100,CHA,FRE,HET,HET,,F,,M,FCHAM,"27,5",5,,,70-99,,1,,,,2010,A3,AME,,,,,10,2020,,AME,ILP,,HET,HET,5,10,2020,A3,c
RETZ_00515,RETZ_00515_a,RETZ_00515_01,RETZ,515,1,"5,07",01/2011,10,,1,,,,,,,,84,5,,,,,,,,,,,,,,,,,100,CHA,HET,,HET,,F,,M,FCHAM,"21,0",4-,,,70-99,,1,,,,2011,A3,AME,,,,,10,2021,,AME,AME2,,HET/CHS,HET,,8,2019,A3,a
RETZ_00515,RETZ_00515_b,RETZ_00515_02,RETZ,515,2,"12,26",01/2011,70,5,25,,,,,,,,,,,,,,,,,,,,,,,,,,100,HET,CHP,,HET,,F,,G+,FHETG+,"19,0",3+,,,100-129,HET,1,,,,2012,RS,REGQ,,,,,,2016,,REG,REGQ,N,HET,HET,5,,2015,RS,b
RETZ_00516,RETZ_00516_u,RETZ_00516_01,RETZ,516,1,"21,10",01/2011,68,1,1,,,1,,,,,25,2,,1,1,,,,,,,,,,,,,,100,HET,,,HET,,F,,1,FHET1,"22,5",4,1980/1995,15 pr RN /30 pr RA,25-34,,1,,,,2006,RD,AME,,,,,6,2018,ENVIRON 50 %  DE LA SURFACE DE L'UES EST EN SN DE HET (plus jeune : 1995) AVEC PRESENCE MARQUEE DU CHARME ,AME,AME1,,HET,HET,,5/6,2013,A1,u
RETZ_00517,RETZ_00517_u,RETZ_00517_01,RETZ,517,1,"13,37",01/2011,65,5,,,,2,,,,,18,8,,,2,,,,,,,,,,,,,,100,HET,,,HET,,F,,E,FHETE,"0,0",0,1992,18,0-24,,1,,,,2006,RD,AME,,,,,,,,AME,AME1,,HET,HET,,6,2016,A1,u
RETZ_00517,RETZ_00517_u,RETZ_00517_02,RETZ,517,2,"4,27",01/2011,92,,,,,1,,,,,5,2,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,P,FHETP,"24,0",4+,,,35-49,,1,,,,2010,A2,AME,,,,,8,2018,,AME,AME1,,HET,HET,,6,2016,A3,u
RETZ_00518,RETZ_00518_u,RETZ_00518_01,RETZ,518,1,"18,01",01/2011,69,2,10,1,,1,,,,,15,2,,,,,,,,,,,,,,,,,100,HET,CHP,,HET,,F,,P,FHETP,"27,5",5,,,35-49,,1,,,,2010,A2,AME,,,,,8,2018,,AME,AME1,,HET,HET,5,6,2016,A3,u
RETZ_00519,RETZ_00519_u,RETZ_00519_01,RETZ,519,1,"9,90",01/2011,20,,6,,,,,,,,73,1,,,,,,,,,,,,,,,,,100,CHA,HET,,HET,,F,,M,FCHAM,"22,5",4,,,70-99,,1,,,,2010,A3,AME,,,,,8,2018,,AME,AME2,,HET,HET,5,8,2018,A3,u
RETZ_00520,RETZ_00520_a,RETZ_00520_01,RETZ,520,1,"1,39",01/2011,15,,1,45,,,,,,,30,,,,,,9,,,,,,,,,,,,100,FRE,CHA,,FRE,,F,,M,FFREM,"21,0",4-,,,50-69,,1,,,,2007,A3,AME,,,,,10,2017,,REG,REGE,N,FRE,A.F,,8,2015,A3,a
RETZ_00520,RETZ_00520_a,RETZ_00520_02,RETZ,520,2,"7,83",01/2011,30,,5,5,,,,,,,54,1,,,,,5,,,,,,,,,,,,100,CHA,HET,,HET,,F,,M,FCHAM,"22,5",4,,,70-99,,1,,,,2007,A3,AME,,,,,8,2015,,REG,REGE,N,HET,HET,,8,2015,A4,a
RETZ_00520,RETZ_00520_b,RETZ_00520_03,RETZ,520,3,"7,01",01/2011,78,,20,,,,,,,,2,,,,,,,,,,,,,,,,,,100,HET,CHP,,HET,,F,,G-,FHETG-,"19,0",3+,,,100-129,HET,1,,,,2012,RS,REGQ,,,,,,2015,,REG,REGQ,N,HET,HET,,,2015,RS,b
RETZ_00520,RETZ_00520_a,RETZ_00520_04,RETZ,520,4,"4,99",01/2011,45,,20,,,1,,,,,33,,,,,,1,,,,,,,,,,,,100,HET,CHA,CHP,HET,,F,,M,FHETM,"27,5",5,,,70-99,,1,,,,2007,A3,AME,,,,,8,2015,,REG,REGE,N,HET,HET,,8,2015,A4,a
RETZ_00521,RETZ_00521_b,RETZ_00521_01,RETZ,521,1,"12,66",01/2011,3,,87,5,,1,1,,,,3,,,,,,,,,,,,,,,,,,100,CHP,,,CHP,,F,,P,FCHPP,"27,5",5,,,35-49,,1,,,,2007,A2,AME,,,,,8,2013,,AME,AME1,,HET,HET,,6,2013,A3,b
RETZ_00521,RETZ_00521_a,RETZ_00521_02,RETZ,521,2,"3,82",01/2011,88,,1,6,,1,,,,,2,2,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,P,FHETP,"27,5",5,,,35-49,,1,,,,2007,A2,AME,,,,,8,2015,à grouper avec 522a,IRR,IRR1,,HET,HET,,6,2013,JA,a
RETZ_00522,RETZ_00522_a,RETZ_00522_01,RETZ,522,1,"8,14",01/2011,54,,1,18,,2,,,,,23,,,,,,2,,,,,,,,,,,,100,HET,CHA,,HET,,F,,M,FHETM,"27,5",5,,,70-99,,1,,,,2007,A3,AME,1,,,,10,2017,à grouper avec 521a,IRR,IRR1,,HET,HET,,6,2013,JA,a
RETZ_00522,RETZ_00522_b,RETZ_00522_02,RETZ,522,2,"6,69",01/2011,85,,1,6,,3,,,,,5,,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,G-,FHETG-,"22,5",4,,,100-129,HET,1,,,,2007,RS,REGQ,1,,,,,2015,,REG,REGQ,N,HET,HET,,,2015,RS,b
RETZ_00523,RETZ_00523_u,RETZ_00523_01,RETZ,523,1,"15,02",01/2011,44,,3,20,,4,,,,,26,1,1,,,,1,,,,,,,,,,,,100,HET,CHA,FRE,HET,,F,,M,FHETM,"32,5",6,,,70-99,,1,,,,2004,A3,AME,1,,,,10,2013,,AME,AME1,,HET,HET,4,6,2013,A3,u
RETZ_00524,RETZ_00524_u,RETZ_00524_01,RETZ,524,1,"18,14",01/2011,4,,89,,,1,,,,,3,3,,,,,,,,,,,,,,,,,100,CHP,,,CHP,,F,,P,FCHPP,"27,5",5,,,35-49,,1,,,,2007,A2,AME,,,,,8,2013,,AME,AME1,,CHS,CHS,,6,2013,A3,u
RETZ_00525,RETZ_00525_u,RETZ_00525_01,RETZ,525,1,"17,34",01/2011,20,,15,1,,1,,,,,62,1,,,,,,,,,,,,,,,,,100,CHA,HET,CHP,HET,,F,,M,FCHAM,"27,5",5,,,70-99,,1,,,1,2005,A3,AME,,,,,8,2014,CHENE ET HETRE:  DIAMETRE  MOYEN   50 / 55,AME,AME2,,HET,HET,5,7,2013,A3,u
RETZ_00526,RETZ_00526_u,RETZ_00526_01,RETZ,526,1,"20,05",01/2011,43,,26,,,,,,,,30,1,,,,,,,,,,,,,,,,,100,HET,CHA,CHP,HET,,F,,M,FHETM,"27,5",5,,,70-99,,1,,,1,2007,A3,AME,,,,,8,2015,CHENE ET HETRE:  DIAMETRE  MOYEN   50 / 55,REG,REGE,N,HET,HET,5,8,2015,A4,u
RETZ_00527,RETZ_00527_u,RETZ_00527_01,RETZ,527,1,"10,55",01/2011,93,,5,,,,,,,,1,1,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,G,FHETG,"22,5",4,,,70-99,HET,1,,,1,2011,RS,REGQ,,,,,,2015,,REG,REGQ,N,HET,HET,,,2015,RS,u
RETZ_00528,RETZ_00528_a,RETZ_00528_01,RETZ,528,1,"8,73",01/2011,69,,15,1,,,,,,,12,1,,1,,,1,,,,,,,,,,,,100,HET,CHP,,HET,,F,,G,FHETG,"27,5",5,,,70-99,HET,1,,,1,2011,A3,REG2,1,,,,,2015,PRESENCE DE  S-N  DE  HETRE  A  L'OUEST  DE  LA  PARCELLE,REG,REGS,N/A,HET/CHS,HET,,,2019,RE,a
RETZ_00528,RETZ_00528_b,RETZ_00528_02,RETZ,528,2,"1,71",01/2011,8,,,,,1,,,,,90,1,,,,,,,,,,,,,,,,,100,CHA,HET,,HET,,F,,M,FCHAM,"29,0",5+,,,50-69,,1,,,,2011,A3,AME,1,,,,8,2019,,AME,AME2,,HET/CHS,HET,,8,2019,A3,b
RETZ_00528,RETZ_00528_c,RETZ_00528_03,RETZ,528,3,"1,27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,EMP,,VEMP,,NC,,,NC,,,,,,,,,,,,,,,emprise nouvelle route suite à RN2,HSY,HSY,,SANS,SANS,,,,,c
RETZ_00529,RETZ_00529_a,RETZ_00529_01,RETZ,529,1,"22,69",05/2011,80,,10,,,,,,,,10,,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,G-,FHETG-,"24,0",4+,,80,70-99,,1,,,,2006,A4,AME,,,,,10,2016,,REG,REGE,N,HET,HET,,10,2016,A4,a
RETZ_00529,RETZ_00529_b,RETZ_00529_02,RETZ,529,2,"1,23",05/2011,,,,,,,,,,,,30,,20,50,,,,,,,,,,,,,,100,SAU,,,SAU,,Z,,E,ZSAUE,"0,0",0,,12,0-24,,1,,,,,,,,,,,,,zone de pleurs et d'argile verte ,HSN,HSN,,SANS,SANS,2,,,,b
RETZ_00530,RETZ_00530_c,RETZ_00530_01,RETZ,530,1,"4,10",05/2011,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,100,CHS,,,CHS,,F,,E,FCHSE,"0,0",0,1997,14,0-24,,1,,,,,,AME,,,,,,,,AME,AMEE,,CHS,CHS,5,,2027,A1,c
RETZ_00530,RETZ_00530_a,RETZ_00530_02,RETZ,530,2,"8,71",05/2011,90,,10,,,,,,,,,,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,E,FHETE,"0,0",0,1990,21,0-24,,1,,,,,,AME,,,,,,,,AME,AME1,,HET,HET,,5/6,2022,A1,a
RETZ_00530,RETZ_00530_a,RETZ_00530_03,RETZ,530,3,"1,21",05/2011,10,,90,,,,,,,,,,,,,,,,,,,,,,,,,,100,CHP,,,CHP,,F,,E,FCHPE,"0,0",0,1990,21,0-24,,1,,,,,,AME,,,,,,,,AME,AME1,,CHS,CHS,5,5/6,2022,A1,a
RETZ_00530,RETZ_00530_b,RETZ_00530_04,RETZ,530,4,"2,57",05/2011,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,100,CHS,,,CHS,,F,,S,FCHSS,"0,0",0,2010,,0-24,,1,,,,,,AME,,,,,,,,AME,AMEJ,,CHS,CHS,5,,/,,b
RETZ_00531,RETZ_00531_a,RETZ_00531_01,RETZ,531,1,"11,61",05/2011,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,E,FHETE,"0,0",0,1990,21,0-24,HET,1,,,,,,AME,,,,,,,,AME,AME1,,HET,HET,5,5/6,2022,A1,a
RETZ_00531,RETZ_00531_b,RETZ_00531_02,RETZ,531,2,"2,24",05/2011,90,,,,,,,,,,10,,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,M,FHETM,"17,5",3,1970,40,35-49,,1,,,,2011,A2,AME,,,,,8,2019,,AME,AME2,,HET,HET,5,7,2018,A3,b
RETZ_00531,RETZ_00531_c,RETZ_00531_03,RETZ,531,3,"0,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,EMP,,VEMP,,NC,,,NC,,,,,,,,,,,,,,,emprise RN2,HSY,HSY,,SANS,SANS,,,,,c
RETZ_00532,RETZ_00532_a,RETZ_00532_01,RETZ,532,1,"10,42",05/2011,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,E,FHETE,"0,0",0,1990,21,0-24,,1,,,,,,AME,,,,,,,,AME,AME1,,HET,HET,5,5/6,2022,A1,a
RETZ_00532,RETZ_00532_a,RETZ_00532_02,RETZ,532,2,"3,20",05/2011,,30,70,,,,,,,,,,,,,,,,,,,,,,,,,,100,CHE,,,CHE,,F,,E,FCHEE,"0,0",0,1990,21,0-24,,1,,,,,,AME,,,,,,,,AME,AME1,,CHS,CHS,5,5/6,2022,A1,a
RETZ_00532,RETZ_00532_b,RETZ_00532_03,RETZ,532,3,"0,59",05/2011,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,M,FHETM,"17,5",3,1970,40,35-49,,1,,,,2011,A2,AME,,,,,8,2019,à grouper avec 531b,AME,AME2,,HET,HET,5,7,2018,A3,b
RETZ_00533,RETZ_00533_a,RETZ_00533_01,RETZ,533,1,"13,38",05/2011,75,,5,,,,,,,,20,,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,G-,FHETG-,"22,5",4,,70,70-99,,1,,,,2012,A4,AME,,,,,10,2022,zone sensible aux chablis,REG,REGE,N,HET,HET,,8,2020,A4,a
RETZ_00533,RETZ_00533_b,RETZ_00533_02,RETZ,533,2,"1,45",05/2011,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,100,CHS,,,CHS,,F,,P,FCHSP,"22,5",4,,40,35-49,,1,,,,2012,A1,AME,,,,,10,2022,,AME,AME1,,CHS,CHS,2,6,2018,A2,b
RETZ_00534,RETZ_00534_u,RETZ_00534_01,RETZ,534,1,"8,26",05/2011,75,,5,,,,,,,,20,,,,,,,,,,,,,,,,,,100,HET,,,HET,,F,,G-,FHETG-,"22,5",4,,70,70-99,,1,,,,2012,A4,AME,,,,,10,2022,,REG,REGE,N,HET,HET,,,2020,A4,u
